"2,900 sq mi","Sitka, AK"
"Sitka, AK","2,900 sq mi"
"2,700 sq mi","Juneau, AK"
"Juneau, AK","2,700 sq mi"
"2,600 sq mi","Wrangell, AK"
"Wrangell, AK","2,600 sq mi"
"1,700 sq mi","Anchorage, AK"
"Anchorage, AK","1,700 sq mi"
780 sq mi,"Tribune, KS"
"Tribune, KS",780 sq mi
750 sq mi,"Jacksonville, FL"
"Jacksonville, FL",750 sq mi
7. 740 sq mi,"Anaconda, MT"
"Anaconda, MT",7. 740 sq mi
720 sq mi,"Butte, MT"
"Butte, MT",720 sq mi
640 sq mi,"Houston, TX"
"Houston, TX",640 sq mi
610 sq mi,"Oklahoma City, OK"
"Oklahoma City, OK",610 sq mi
520 sq mi,"Phoenix, AZ"
"Phoenix, AZ",520 sq mi
500 sq mi,"San Antonio, TX"
"San Antonio, TX",500 sq mi
480 sq mi,"Nashville, TN"
"Nashville, TN",480 sq mi
470 sq mi,"Los Angeles, CA"
"Los Angeles, CA",470 sq mi
420 sq mi,"Stantenville, GA"
"Stantenville, GA",420 sq mi
400 sq mi,"Suffolk, VA"
"Suffolk, VA",400 sq mi
400 sq mi,"Buckeye, GA"
"Buckeye, GA",400 sq mi
360 sq mi,"Indianapolis, IN"
"Indianapolis, IN",360 sq mi
350 sq mi,"Fort Worth, TX"
"Fort Worth, TX",350 sq mi
340 sq mi,"Dallas, TX"
"Dallas, TX",340 sq mi
