"New York City, NY",8.8 million
8.8 million,"New York City, NY"
"Los Angeles, CA",3.9 million
3.9 million,"Los Angeles, CA"
"Chicago, IL",2.7 million
2.7 million,"Chicago, IL"
"Houston, TX",2.3 million
2.3 million,"Houston, TX"
"Phoenix, AZ",1.6 million
1.6 million,"Phoenix, AZ"
"Philadelphia, PA",1.6 million
1.6 million,"Philadelphia, PA"
"San Antonio, TX",7. 1.4 million
7. 1.4 million,"San Antonio, TX"
"San Diego, CA",1.4 million
1.4 million,"San Diego, CA"
"Dallas, TX",1.3 million
1.3 million,"Dallas, TX"
"San Jose, CA",1.0 million
1.0 million,"San Jose, CA"
"Austin, TX","960,000"
"960,000","Austin, TX"
"Jacksonville, FL","950,000"
"950,000","Jacksonville, FL"
"Fort Worth, TX ","920,000"
"920,000","Fort Worth, TX "
"Columbus, OH","910,000"
"910,000","Columbus, OH"
"Indianapolis, IN","890,000"
"890,000","Indianapolis, IN"
"Charlotte, NC","870,000"
"870,000","Charlotte, NC"
"San Francisco, CA","870,000"
"870,000","San Francisco, CA"
"Seattle, WA","740,000"
"740,000","Seattle, WA"
"Denver, CO","720,000"
"720,000","Denver, CO"
"Washington, DC","690,000"
"690,000","Washington, DC"
"Oklahoma City, OK","680,000"
"680,000","Oklahoma City, OK"
"Nashville, TN","690,000"
"690,000","Nashville, TN"
