"North Carolina, Tennessee
13m visitors (1st)",Great Smoky Mountains
"Arizona (1/3)
4.7m visitors (2nd)",Grand Canyon
"Utah (1/5)
4.7m visitors (3rd)",Zion
"Colorado (1/4)
4.3m visitors (4th)",Rocky Mountain
"Maine
4m visitors (5th)",Acadia
"California (1/9)
3.7m visitors (6th)",Yosemite
"Wyoming (1/2), Montana (1/2), Idaho
3.3m visitors (7th)",Yellowstone
"California (2/9)
3.1m voters (8th)",Joshua Tree
"Ohio
2.9m visitors (9th)",Cuyahoga Valley
"Montana (2/2)
2.9m visitors (10th)",Glacier
"Indiana
2.8m visitors (11th)",Indiana Dunes
"Wyoming (2/2)
2.8m visitors (12th)",Grand Teton
"Arkansas
2.6m visitors (13th)",Hot Springs
"Washington (1/3)
2.4m visitors (14th)",Olympic
"Utah (2/5)
2.4m visitors (15th)",Bryce Canyon
"Washington (2/3)
1.6m visitors (16th)",Mount Rainier
"Missouri
1.6m visitors (17th)",Gateway Arch
"West Virginia
1.6m visitors (18th)",New River Gorge
"Hawaii (1/2)
1.6m visitors (19th)",Hawai'i Volcanoes
"Utah (3/5)
1.5m visitors (20th)",Arches
"Virginia
1.4m visitors (21st)",Shenandoah
"Utah (4/5)
1.2m visitors (22nd)",Capitol Reef
"Florida (1/3)
1.2m visitors (23rd)",Everglades
"California (3/9)
1.2m visitors (24th)",Sequoia
"California (4/9), Nevada (1/2)
1.1m visitors (25th)",Death Valley
"Hawaii (2/2)
1.1m visitors (26th)",Haleakala
"South Dakota (1/2)
1m visitors (27th)",Badlands
"Arizona (2/3)
900k visitors (28th)",Saguaro
"Utah (5/5)
800k visitors (29th)",Canyonlands
"New Mexico (1/2)
700k visitors (30th)",White Sands
"Florida (2/3)
700k visitors (31st)",Biscayne
"North Dakota
700k visitors (32nd)",Theodore Roosevelt
"Kentucky
700k visitors (34rd)",Mammoth Cave
"California (5/9)
600k visitors (34th)",Kings Canyon
"South Dakota (2/2)
600k visitors (35th)",Wind Cave
"Alaska (1/8)
500k visitors (36th)",Glacier Bay
"Oregon
500k visitors (37th)",Crater Lake
"Texas (1/2)
500k visitors (38th)",Big Bend
"Arizona (3/3)
500k visitors (39th)",Petrified Forest
"Colorado (2/4)
500k visitors (40th)",Mesa Verde
"Colorado (3/4)
500k visitors (41st)",Great Sand Dunes
"California (6/9)
500k visitors (42nd)",Redwood
"California (7/9)
400k visitors (43rd)",Lassen Volcanic
"Alaska (2/8)
400k visitors (44th)",Denali (Mount McKinley)
"New Mexico (2/2)
400k visitors (45th)",Carlsbad Caverns
"Alaska (3/8)
400k visitors (46th)",Kenai Fjords
"California (8/9)
300k visitors (47th)",Channel Islands
"Colorado (4/4)
300k visitors (48th)",Black Canyon of the Gunnison
"California (9/9)
300k visitors (48th)",Pinnacles
"Minnesota
200k visitors (50th)",Voyageurs
"Texas (2/2)
200k visitors (51st)",Guadalupe Mountains
"South Carolina
200k visitors (52nd)",Congaree
"US Virgin Islands
200k visitors (53rd)",Virgin Islands
"Nevada (2/2)
100k visitors (54th)",Great Basin
"Florida (3/3)
80k visitors (55th)",Dry Tortugas
"Alaska (4/8)
70k visitors (56th)",Wrangell-St. Elias
"Alaska (5/8)
30k visitors (57th)",Katmai
"Washington (3/3)
30k visitors (58th)",North Cascades
"Michigan
30k visitors (59th)",Isle Royale
"Alaska (6/8)
20k visitors (60th)",Lake Clark
"Alaska (7/8)
20k visitors (61st)",Kobuk Valley
"American Samoa
10k visitors (62nd)",American Samoa
"Alaska (8/8)
10k visitors (63rd)",Gates of the Arctic
