California,"#1 - 40 million
Electoral Votes: 54"
"#1 - 40 million
Electoral Votes: 54",California
Texas,"#2 - 29 million
Electoral Votes: 40"
"#2 - 29 million
Electoral Votes: 40",Texas
Florida,"#3 - 22 million
Electoral Votes: 30"
"#3 - 22 million
Electoral Votes: 30",Florida
New York,"#4 - 20 million
Electoral Votes: 28"
"#4 - 20 million
Electoral Votes: 28",New York
Pennsylvania,"#5 - 13 million
Electoral Votes: 19"
"#5 - 13 million
Electoral Votes: 19",Pennsylvania
Illinois,"#6 - 13 million
Electoral Votes: 19"
"#6 - 13 million
Electoral Votes: 19",Illinois
Ohio,"#7 - 12 million
Electoral Votes: 17"
"#7 - 12 million
Electoral Votes: 17",Ohio
Georgia,"#8 - 11 million
Electoral Votes: 16"
"#8 - 11 million
Electoral Votes: 16",Georgia
North Carolina,"#9 - 10 million
Electoral Votes: 16"
"#9 - 10 million
Electoral Votes: 16",North Carolina
Michigan,"#10 - 10 million
Electoral Votes: 15"
"#10 - 10 million
Electoral Votes: 15",Michigan
New Jersey,"#11 - 9 million
Electoral Votes: 14"
"#11 - 9 million
Electoral Votes: 14",New Jersey
Virginia,"#12 - 9 million
Electoral Votes: 13"
"#12 - 9 million
Electoral Votes: 13",Virginia
Washington,"#13 - 8 million
Electoral Votes: 12"
"#13 - 8 million
Electoral Votes: 12",Washington
Arizona,"#14 - 7 million
Electoral Votes: 11"
"#14 - 7 million
Electoral Votes: 11",Arizona
Massachusetts,"#15 - 7 million
Electoral Votes: 11"
"#15 - 7 million
Electoral Votes: 11",Massachusetts
Tennessee,"#16 - 7 million
Electoral Votes: 11"
"#16 - 7 million
Electoral Votes: 11",Tennessee
Indiana,"#17 - 7 million
Electoral Votes: 11"
"#17 - 7 million
Electoral Votes: 11",Indiana
Maryland,"#18 - 6 million
Electoral Votes: 10"
"#18 - 6 million
Electoral Votes: 10",Maryland
Missouri,"#19 - 6 million
Electoral Votes: 10"
"#19 - 6 million
Electoral Votes: 10",Missouri
Wisconsin,"#20 - 6 million
Electoral Votes: 10"
"#20 - 6 million
Electoral Votes: 10",Wisconsin
Colorado,"#21 - 6 million
Electoral Votes: 10"
"#21 - 6 million
Electoral Votes: 10",Colorado
Minnesota,"#22 - 6 million
Electoral Votes: 10"
"#22 - 6 million
Electoral Votes: 10",Minnesota
South Carolina,"#23 - 5 million
Electoral Votes: 9"
"#23 - 5 million
Electoral Votes: 9",South Carolina
Alabama,"#24 - 5 million
Electoral Votes: 9"
"#24 - 5 million
Electoral Votes: 9",Alabama
Louisiana,"#25 - 5 million
Electoral Votes: 8"
"#25 - 5 million
Electoral Votes: 8",Louisiana
Kentucky,"#26 - 5 million
Electoral Votes: 8"
"#26 - 5 million
Electoral Votes: 8",Kentucky
Oregon,"#27 - 4 million
Electoral Votes: 8"
"#27 - 4 million
Electoral Votes: 8",Oregon
Oklahoma,"#28 - 4 million
Electoral Votes: 7"
"#28 - 4 million
Electoral Votes: 7",Oklahoma
Connecticut,"#29 - 4 million
Electoral Votes: 7"
"#29 - 4 million
Electoral Votes: 7",Connecticut
Utah,"#30 - 3 million
Electoral Votes: 6"
"#30 - 3 million
Electoral Votes: 6",Utah
Iowa,"#31 - 3 million
Electoral Votes: 6"
"#31 - 3 million
Electoral Votes: 6",Iowa
Nevada,"#32 - 3 million
Electoral Votes: 6"
"#32 - 3 million
Electoral Votes: 6",Nevada
Arkansas,"#33 - 3 million
Electoral Votes: 6"
"#33 - 3 million
Electoral Votes: 6",Arkansas
Mississippi,"#34 - 3 million
Electoral Votes: 6"
"#34 - 3 million
Electoral Votes: 6",Mississippi
Kansas,"#35 - 3 million
Electoral Votes: 6"
"#35 - 3 million
Electoral Votes: 6",Kansas
New Mexico,"#36 - 2 million
Electoral Votes: 5"
"#36 - 2 million
Electoral Votes: 5",New Mexico
Nebraska,"#37 - 2 million
Electoral Votes: 5"
"#37 - 2 million
Electoral Votes: 5",Nebraska
Idaho,"#38 - 2 million
Electoral Votes: 4"
"#38 - 2 million
Electoral Votes: 4",Idaho
West Virginia,"#39 - 2 million
Electoral Votes: 4"
"#39 - 2 million
Electoral Votes: 4",West Virginia
Hawaii,"#40 - 1 million
Electoral Votes: 4"
"#40 - 1 million
Electoral Votes: 4",Hawaii
New Hampshire,"#41 - 1 million
Electoral Votes: 4"
"#41 - 1 million
Electoral Votes: 4",New Hampshire
Maine,"#42 - 1 million
Electoral Votes: 4"
"#42 - 1 million
Electoral Votes: 4",Maine
Rhode Island,"#43 - 1 million
Electoral Votes: 4"
"#43 - 1 million
Electoral Votes: 4",Rhode Island
Montana,"#44 - 1 million
Electoral Votes: 4"
"#44 - 1 million
Electoral Votes: 4",Montana
Delaware,"#45 - 1 million
Electoral Votes: 3"
"#45 - 1 million
Electoral Votes: 3",Delaware
South Dakota,"#46 - 900k
Electoral Votes: 3"
"#46 - 900k
Electoral Votes: 3",South Dakota
North Dakota,"#47 - 800k
Electoral Votes: 3"
"#47 - 800k
Electoral Votes: 3",North Dakota
Alaska,"#48 - 700k
Electoral Votes: 3"
"#48 - 700k
Electoral Votes: 3",Alaska
Vermont,"#49 - 600k
Electoral Votes: 3"
"#49 - 600k
Electoral Votes: 3",Vermont
Wyoming,"#50 - 600k
Electoral Votes: 3"
"#50 - 600k
Electoral Votes: 3",Wyoming
