Alaska,670k sq mi
670k sq mi,Alaska
Texas,270k sq mi
270k sq mi,Texas
California,160k sq mi
160k sq mi,California
Montana,150k sq mi
150k sq mi,Montana
New Mexico,120k sq mi
120k sq mi,New Mexico
Arizona,110k sq mi
110k sq mi,Arizona
Nevada,110k sq mi
110k sq mi,Nevada
Colorado,100k sq mi
100k sq mi,Colorado
Oregon,100k sq mi
100k sq mi,Oregon
Wyoming,100k sq mi
100k sq mi,Wyoming
Michigan,100k sq mi
100k sq mi,Michigan
Minnesota,90k sq mi
90k sq mi,Minnesota
Utah,13. 80k sq mi
13. 80k sq mi,Utah
Idaho,80k sq mi
80k sq mi,Idaho
Kansas,80k sq mi
80k sq mi,Kansas
Nebraska,80k sq mi
80k sq mi,Nebraska
South Dakota,80k sq mi
80k sq mi,South Dakota
Washington ,70k sq mi
70k sq mi,Washington 
North Dakota,70k sq mi
70k sq mi,North Dakota
Oklahoma,70k sq mi
70k sq mi,Oklahoma
Missouri,70k sq mi
70k sq mi,Missouri
Florida,70k sq mi
70k sq mi,Florida
Wisconsin,70k sq mi
70k sq mi,Wisconsin
Georgia,60k sq mi
60k sq mi,Georgia
Illinois,60k sq mi
60k sq mi,Illinois
Iowa,60k sq mi
60k sq mi,Iowa
New York,50k sq mi
50k sq mi,New York
North Carolina ,50k sq mi
50k sq mi,North Carolina 
Arkansas ,50k sq mi
50k sq mi,Arkansas 
Alabama,50k sq mi
50k sq mi,Alabama
Louisiana ,50k sq mi
50k sq mi,Louisiana 
Mississippi,50k sq mi
50k sq mi,Mississippi
Pennsylvania,50k sq mi
50k sq mi,Pennsylvania
Ohio,40k sq mi
40k sq mi,Ohio
Virginia,40k sq mi
40k sq mi,Virginia
Tennessee,40k sq mi
40k sq mi,Tennessee
Kentucky,40k sq mi
40k sq mi,Kentucky
Indiana,40k sq mi
40k sq mi,Indiana
Maine,40k sq mi
40k sq mi,Maine
South Carolina,30k sq mi
30k sq mi,South Carolina
West Virginia,20k sq mi
20k sq mi,West Virginia
Maryland,10k sq mi
10k sq mi,Maryland
Hawaii,10k sq mi
10k sq mi,Hawaii
Massachusetts,10k sq mi
10k sq mi,Massachusetts
Vermont,10k sq mi
10k sq mi,Vermont
New Hampshire,9k sq mi
9k sq mi,New Hampshire
New Jersey,9k sq mi
9k sq mi,New Jersey
Connecticut,6k sq mi
6k sq mi,Connecticut
Delaware,2k sq mi
2k sq mi,Delaware
Rhode Island,2k sq mi
2k sq mi,Rhode Island
