"George Washington 
1789-1797",John Adams
John Adams,"George Washington 
1789-1797"
"John Adams
1797-1801",Thomas Jefferson
Thomas Jefferson,"John Adams
1797-1801"
"Thomas Jefferson
1801-1805",Aaron Burr 
Aaron Burr ,"Thomas Jefferson
1801-1805"
"Thomas Jefferson
1805-1809",George Clinton (1/2)
George Clinton (1/2),"Thomas Jefferson
1805-1809"
"James Madison
1809-1812",George Clinton (2/2)
George Clinton (2/2),"James Madison
1809-1812"
"James Madison
1813-1814",Elbridge Gerry
Elbridge Gerry,"James Madison
1813-1814"
"James Monroe 
1817-1825",Daniel D. Tompkins 
Daniel D. Tompkins ,"James Monroe 
1817-1825"
"John Quincy Adams
1825-1829",John C. Calhoun (1/2)
John C. Calhoun (1/2),"John Quincy Adams
1825-1829"
"Andrew Jackson
1829-1832",John C. Calhoun (2/2)
John C. Calhoun (2/2),"Andrew Jackson
1829-1832"
"Andrew Jackson
1833-1837",Martin Van Buren
Martin Van Buren,"Andrew Jackson
1833-1837"
"Martin Van Buren 
1837-1841",Richard Mentor Jefferson
Richard Mentor Jefferson,"Martin Van Buren 
1837-1841"
"William Henry Harrison
1841-1841",John Tyler
John Tyler,"William Henry Harrison
1841-1841"
"John Tyler
1841-1845",Full Vacancy (1/4)
Full Vacancy (1/4),"John Tyler
1841-1845"
"James K. Polk
1845-1849",George M. Dallas 
George M. Dallas ,"James K. Polk
1845-1849"
"Zachary Taylor
1849-1850",Millard Fillmore
Millard Fillmore,"Zachary Taylor
1849-1850"
"Millard Fillmore 
1850-1853",Full Vacancy (2/4)
Full Vacancy (2/4),"Millard Fillmore 
1850-1853"
"Franklin Pierce
1853-1853",William R. King
William R. King,"Franklin Pierce
1853-1853"
"James Buchanan
1857-1861",John C. Breckenridge
John C. Breckenridge,"James Buchanan
1857-1861"
"Abraham Lincoln
1861-1865",Hannibal Hamlin
Hannibal Hamlin,"Abraham Lincoln
1861-1865"
"Abraham Lincoln 
1865-1865",Andrew Johnson
Andrew Johnson,"Abraham Lincoln 
1865-1865"
"Andrew Johnson
1865-1869",Full Vacancy (3/4)
