"2022
Qatar",Argentina (3/3) defeated France
Argentina (3/3) defeated France,"2022
Qatar"
"2018 
Russia",France (2/2) defeated Croatia
France (2/2) defeated Croatia,"2018 
Russia"
"2006
Germany",Italy (4/4) defeated France
Italy (4/4) defeated France,"2006
Germany"
"1994
United States",Brazil (4/5) defeated Italy
Brazil (4/5) defeated Italy,"1994
United States"
"2010
South Africa ",Spain (1/1) defeated the Netherlands
Spain (1/1) defeated the Netherlands,"2010
South Africa "
"2002
Japan",Brazil (5/5) defeated Germany
Brazil (5/5) defeated Germany,"2002
Japan"
"1998
France",France (1/2) defeated Brazil
France (1/2) defeated Brazil,"1998
France"
"1990
Italy",West Germany (3/4) defeated Argentina
West Germany (3/4) defeated Argentina,"1990
Italy"
"2014
Brazil",Germany (4/4) defeated Argentina
Germany (4/4) defeated Argentina,"2014
Brazil"
"1982
Spain",Italy (3/4) defeated West Germany
Italy (3/4) defeated West Germany,"1982
Spain"
"1978
Argentina",Argentina (1/3) defeated the Netherlands
Argentina (1/3) defeated the Netherlands,"1978
Argentina"
"1986
Mexico",Argentina (2/3) defeated West Germany
Argentina (2/3) defeated West Germany,"1986
Mexico"
"1974
West Germany",West Germany (2/4) defeated the Netherlands
West Germany (2/4) defeated the Netherlands,"1974
West Germany"
"1970
Mexico",Brazil (3/5) defeated Italy
Brazil (3/5) defeated Italy,"1970
Mexico"
"1966
England ",England (1/1) defeated West Germany
England (1/1) defeated West Germany,"1966
England "
"1962
Chile ",Brazil (2/5) defeated Czechoslovakia
Brazil (2/5) defeated Czechoslovakia,"1962
Chile "
"1958
Sweden",Brazil (1/5) defeated Sweden
Brazil (1/5) defeated Sweden,"1958
Sweden"
"1954
Switzerland",West Germany (1/4) defeated Hungary
West Germany (1/4) defeated Hungary,"1954
Switzerland"
"1950
Brazil",Uruguay (2/2) defeated Brazil
Uruguay (2/2) defeated Brazil,"1950
Brazil"
"1938
France",Italy (2/4) defeated Hungary
Italy (2/4) defeated Hungary,"1938
France"
"1934
Italy",Italy (1/4) defeated Czechoslovakia
Italy (1/4) defeated Czechoslovakia,"1934
Italy"
"1930
Uruguay",Uruguay (1/2) defeated Argentina
Uruguay (1/2) defeated Argentina,"1930
Uruguay"
